N,time
2,127
2,1
2,1
2,1
2,63
2,1
2,1
2,1
2,1
2,1
2,7
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,63
2,1
2,63
2,1
2,31
2,1
2,63
2,1
2,127
2,1
2,1
2,1
2,15
2,1
2,63
2,1
2,1
2,1
3,127
3,1
3,1
3,1
3,1
3,1
3,127
3,255
3,63
3,1
3,31
3,1
3,15
3,1
3,1
3,15
3,31
3,1
3,1
3,127
3,127
3,127
3,255
3,31
3,15
3,1
3,127
3,1023
3,255
3,255
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,1
3,127
3,127
3,127
3,1
3,127
3,255
3,1
3,1
3,1
3,31
3,255
3,127
3,2047
3,1
3,1
3,1
3,1
3,1
4,127
4,1
4,127
4,1
4,63
4,1
4,7
4,1
4,127
4,1
4,1
4,1
4,63
4,1
4,63
4,1
4,1
4,1
4,127
4,1
4,1
4,1
4,255
4,1
4,31
4,1
4,127
4,1
4,63
4,1
4,31
4,1
4,127
4,7
4,1
4,1
4,127
4,1
4,63
4,1
4,127
4,63
4,127
4,1
4,1
4,1
4,1
4,1
4,1
4,63
4,1
4,1
4,63
4,1
4,1
4,15
4,63
4,31
4,63
4,63
4,1
4,1
4,31
4,63
4,1
4,1
4,31
4,31
4,1
4,1
4,1
4,1
4,31
4,3
4,1
4,15
4,15
4,1
4,1
4,1
5,1
5,1
5,1
5,63
5,1
5,63
5,1
5,63
5,1
5,3
5,1
5,1
5,1
5,63
5,1
5,1
5,1
5,1
5,1
5,1
5,127
5,31
5,15
5,1
5,127
5,1
5,1
5,1
5,255
5,1
5,2047
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,127
5,1
5,1
5,1
5,15
5,63
5,1
5,127
5,127
5,255
5,1
5,63
5,1
5,127
5,1
5,127
5,1
5,1
5,1
5,127
5,1
5,63
5,1
5,127
5,1
5,1
5,1
5,127
5,1
5,1
5,1
5,255
5,1
5,1
5,127
5,1
5,63
5,1
5,3071
5,1
5,31
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
6,511
6,1
6,31
6,127
6,63
6,1
6,127
6,1
6,15
6,63
6,63
6,15
6,1
6,127
6,1
6,63
6,1
6,31
6,127
6,1
6,255
6,1
6,63
6,127
6,1
6,31
6,31
6,127
6,127
6,1
6,1
6,63
6,127
6,1
6,31
6,127
6,15
6,15
6,7
6,63
6,1
6,1
6,127
6,1
6,255
6,1
6,63
6,31
6,255
6,1
6,1
6,1
6,255
6,1
6,1
6,15
6,127
6,1
6,1
6,7
6,255
6,1
6,63
6,1
6,127
6,31
6,63
6,1
6,255
6,1
6,63
6,1
6,127
6,31
6,31
6,1
6,1
6,63
6,255
6,1
6,1
6,1
6,255
6,1
6,7
6,127
6,127
6,31
6,31
6,127
6,127
6,1
6,1
6,1
6,127
6,1
6,1
6,3
6,255
6,1
6,1
6,255
6,127
6,1
6,127
6,1
6,127
6,1
6,63
6,1
6,63
6,1
6,63
6,1
6,255
6,1
6,511
6,15
6,127
6,1
7,1
7,1
7,127
7,63
7,255
7,31
7,127
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,31
7,127
7,1
7,31
7,511
7,63
7,1
7,255
7,1
7,255
7,31
7,1
7,255
7,63
7,127
7,255
7,1
7,1
7,1
7,63
7,127
7,1
7,127
7,1
7,127
7,1
7,511
7,1
7,127
7,1
7,63
7,127
7,255
7,1
7,1023
7,1
7,31
7,31
7,127
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,63
7,1
7,63
7,127
7,255
7,1
7,255
7,1
7,1
7,63
7,63
7,1
7,31
7,1
7,127
7,255
7,1
7,63
7,127
7,1
7,63
7,1
7,255
7,1
7,255
7,127
7,15
7,1
7,63
7,1
7,63
7,7
7,127
7,1
7,1023
7,1
7,1
7,1
7,1
7,1
7,63
7,1
7,1023
7,1
7,127
7,255
7,63
7,31
7,2047
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,63
7,31
7,1
7,255
7,1
7,255
7,127
7,127
7,255
7,31
