N,time
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
2,1
3,1
3,255
3,1
3,255
3,1
3,255
3,1
3,63
3,1
3,255
3,1
3,511
3,1
3,511
3,1
3,255
3,1
3,1
3,1
3,1
3,1
3,255
3,1
3,255
3,1
3,255
3,1
3,255
3,1
3,15
3,1
3,7
3,1
3,255
3,1
3,511
3,1
3,511
3,1
3,255
3,1
3,1
3,1
3,127
3,1
3,127
3,1
3,255
3,127
3,1
3,7
3,1
3,1
3,255
3,1
3,255
3,1
3,511
3,1
3,511
4,1
4,255
4,127
4,1
4,63
4,7
4,1
4,63
4,1
4,255
4,1
4,1023
4,1
4,1023
4,1
4,2047
4,1
4,1
4,1
4,1
4,1
4,1
4,31
4,63
4,1
4,1
4,1
4,127
4,1
4,1023
4,1
4,511
4,1
4,2047
4,1
4,1
4,1
4,1
4,1
4,2047
4,1
4,511
4,1
4,1
4,127
4,1
4,1
4,1023
4,1
4,511
4,1
4,2047
4,255
4,2047
4,1
4,1
4,1
4,1
4,1
4,1
4,1
4,511
4,63
4,1
4,31
4,1
4,255
4,511
4,1
4,511
4,1
4,1023
4,1
4,1
4,1
4,2047
4,1
4,1
4,1
4,1
5,255
5,1023
5,1
5,2047
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,3071
5,1
5,2047
5,1
5,2047
5,15
5,1
5,1
5,1023
5,1
5,2047
5,1
5,2047
5,1
5,2047
5,1
5,1
5,1
5,2047
5,1
5,1
5,1
5,3071
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,255
5,1
5,2047
5,1
5,3071
5,1
5,3071
5,1
5,1
5,1
5,2047
5,1
5,3071
5,1
5,1
5,1
5,1
5,1
5,127
5,1
5,2047
5,1
5,3071
5,1
5,3071
5,1
5,15
5,127
5,2047
5,1
5,3071
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,1
5,2047
5,1
5,3071
5,1
5,3071
5,31
5,1
5,1
5,3071
5,1
5,2047
5,1
5,7
5,1
5,1
5,1
5,1
6,1
6,1
6,255
6,63
6,1
6,4095
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,4095
6,1
6,1
6,1
6,255
6,1
6,1
6,255
6,127
6,1
6,3071
6,1
6,6143
6,1
6,1
6,1
6,1
6,1
6,1
6,31
6,1
6,255
6,1
6,1
6,127
6,1
6,1
6,1
6,1
6,63
6,2047
6,1
6,4095
6,1
6,1
6,1
6,63
6,1
6,127
6,1
6,127
6,1
6,63
6,1
6,1023
6,1
6,1
6,1
6,1
6,1
6,2047
6,1
6,5119
6,63
6,1
6,127
6,1
6,63
6,127
6,63
6,1
6,63
6,1
6,127
6,511
6,1
6,1
6,127
6,1023
6,1
6,5119
6,1
6,1
6,31
6,3
6,127
6,127
6,1
6,1
6,15
6,1
6,127
6,1
6,1
6,1
6,1
6,1
6,1
6,255
6,1
6,63
6,1
6,5119
6,1
6,1
6,1
6,1
6,1
6,1
6,127
6,1
6,127
6,1
6,31
6,1
6,1
6,1
7,1
7,1
7,127
7,127
7,1
7,1
7,3071
7,3071
7,1
7,6143
7,1
7,1
7,1
7,1
7,1
7,127
7,255
7,127
7,255
7,1
7,1
7,1
7,63
7,1
7,15
7,3071
7,1
7,3071
7,1
7,6143
7,63
7,1
7,1
7,1
7,127
7,1
7,127
7,1
7,1
7,1
7,127
7,1
7,127
7,2047
7,1
7,255
7,1
7,3071
7,1
7,4095
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,127
7,2047
7,255
7,1
7,1
7,3071
7,1
7,1
7,1
7,2047
7,1
7,31
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1023
7,1
7,1
7,1
7,1
7,1
7,3071
7,7
7,1
7,1
7,2047
7,127
7,1
7,63
7,1
7,63
7,1
7,255
7,127
7,1
7,63
7,1
7,3071
7,255
7,1023
7,127
7,5119
7,1
7,255
7,1
7,255
7,1
7,127
7,1
7,127
7,1
7,63
7,1
7,255
7,63
7,63
7,1
7,3071
7,1
7,2047
7,1
7,7167
7,15
7,255
7,1
7,127
7,31
7,1
7,127
7,1
7,63
7,1
8,127
8,2047
8,1
8,63
8,31
8,3071
8,1
8,63
8,1
8,31
8,255
8,127
8,1
8,1
8,1
8,1
8,127
8,1
8,1
8,1
8,1
8,255
8,1
8,1
8,1
8,511
8,1
8,63
8,127
8,1
8,31
8,3071
8,1
8,63
8,127
8,1
8,63
8,1
8,1
8,1
8,1
8,1
8,127
8,1
8,1
8,511
8,63
8,1
8,63
8,1
8,255
8,2047
8,1
8,1
8,1
8,1
8,1
8,1
8,127
8,1
8,255
8,1
8,63
8,255
8,127
8,2047
8,1
8,6143
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
