N,time
2,127
2,1
2,31
2,31
2,63
2,1
2,31
2,1
2,15
2,63
2,1
2,127
2,31
2,1
2,127
2,63
2,127
2,1
2,1
2,63
3,127
3,63
3,31
3,1023
3,127
3,255
3,255
3,255
3,1
3,1
3,1
3,127
3,63
3,127
3,1
3,1
3,1
3,1
3,255
3,255
3,1
3,255
3,127
3,63
3,1
3,1
3,63
3,127
3,255
3,255
4,1
4,1
4,1
4,1
4,1
4,255
4,31
4,511
4,63
4,2047
4,1
4,511
4,1
4,15
4,127
4,255
4,511
4,1
4,1
4,127
4,255
4,1
4,1
4,1
4,255
4,255
4,1023
4,1
4,1
4,1
4,1
4,31
4,1
4,1
4,511
4,63
4,1
4,1023
4,1
4,1
5,1
5,1023
5,1
5,1
5,1
5,1
5,1
5,1023
5,1023
5,1
5,1
5,255
5,2047
5,1023
5,127
5,511
5,1
5,1023
5,1
5,1
5,1
5,1
5,511
5,255
5,1023
5,1
5,1
5,1023
5,1
5,1
5,63
5,255
5,511
5,255
5,1
5,1023
5,1
5,1
5,1
5,1
5,1
5,31
5,255
5,511
5,1
5,1
5,127
5,1
5,1
5,1
6,1
6,1
6,1
6,1
6,1
6,1
6,3071
6,1
6,1
6,1
6,1
6,1
6,2047
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,127
6,1
6,1023
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,3
6,63
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1023
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,1
6,511
6,1
6,1
6,1
6,1
6,1
6,1
6,1
7,1
7,15
7,63
7,127
7,7
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,15
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,511
7,1
7,1
7,1
7,1
7,1
7,1
7,127
7,1
7,127
7,127
7,127
7,1
7,1
7,127
7,1
7,1
7,1
7,1
7,1
7,1
7,1023
7,1
7,31
7,1
7,1
7,1
7,1
7,1
7,1023
7,1023
7,2047
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,31
7,1023
7,255
7,1
7,1
7,1
7,1
7,1
8,1
8,63
8,31
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,127
8,1
8,63
8,15
8,1
8,1
8,1
8,1
8,1
8,1
8,31
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1023
8,2047
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,15
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,63
8,1
8,1
8,1023
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,127
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
8,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,4095
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1023
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1023
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,127
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,127
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,31
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,63
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
9,1
10,1
10,3
10,1
10,255
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,255
10,1023
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,127
10,1
10,1
10,511
10,1
10,1
10,1
10,63
10,1
10,255
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,63
10,2047
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1023
10,63
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,3
10,1023
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1
10,1023
10,1
10,1
10,1
10,1023
10,1
10,1
10,1
10,1
10,1
10,1
10,1
